time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.386 0.0827652 -0.0467748 0.0489946 -0.0481521 0.0323977 0.0976743 -0.0964805 -0.0971508 0
0.388 0.0853376 -0.044196 0.0463979 -0.0455759 0.0334565 0.0966488 -0.0954348 -0.0961193 0
0.39 0.0879203 -0.0416097 0.0437922 -0.0429912 0.0345458 0.0955917 -0.0943583 -0.0950568 0
0.392 0.0905114 -0.0390175 0.0411791 -0.0403997 0.0356651 0.0945034 -0.0932515 -0.0939636 0
0.394 0.0931091 -0.0364214 0.0385605 -0.0378032 0.036814 0.0933846 -0.0921149 -0.0928404 0
0.396 0.0957117 -0.0338232 0.0359384 -0.0352037 0.0379919 0.0922357 -0.0909491 -0.0916877 0
0.398 0.0983173 -0.0312247 0.0333146 -0.0326029 0.0391984 0.0910572 -0.0897546 -0.090506 0
0.4 0.100924 -0.0286277 0.030691 -0.0300027 0.0404329 0.0898499 -0.088532 -0.0892959 0
0.402 0.10353 -0.0260343 0.0280694 -0.0274049 0.0416949 0.0886143 -0.0872821 -0.0880581 0
0.404 0.106134 -0.0234462 0.0254519 -0.0248115 0.0429836 0.087351 -0.0860054 -0.0867932 0
0.406 0.108733 -0.0208654 0.0228404 -0.0222244 0.0442986 0.0860608 -0.0847026 -0.0855018 0
0.408 0.111326 -0.0182938 0.0202368 -0.0196453 0.0456392 0.0847444 -0.0833744 -0.0841847 0
0.41 0.11391 -0.0157332 0.017643 -0.0170763 0.0470046 0.0834023 -0.0820216 -0.0828425 0
0.412 0.116485 -0.0131856 0.0150611 -0.0145192 0.0483942 0.0820355 -0.0806449 -0.081476 0
0.414 0.119048 -0.010653 0.0124929 -0.011976 0.0498073 0.0806447 -0.079245 -0.080086 0
0.416 0.121596 -0.00813712 0.00994043 -0.00944851 0.051243 0.0792306 -0.0778229 -0.0786733 0
0.418 0.124129 -0.00564003 0.00740566 -0.00693871 0.0527008 0.0777941 -0.0763792 -0.0772386 0
0.42 0.126644 -0.00316361 0.00489053 -0.0044485 0.0541796 0.076336 -0.0749149 -0.0757828 0
0.422 0.12914 -0.000709777 0.00239701 -0.00197979 0.0556788 0.0748572 -0.0734308 -0.0743067 0
0.424 0.131614 0.00171956 -7.29371e-05 0.000465516 0.0571975 0.0733586 -0.0719278 -0.0728113 0
0.426 0.134064 0.00412251 -0.00251737 0.00288551 0.0587349 0.0718411 -0.0704068 -0.0712974 0
0.428 0.13649 0.00649715 -0.00493434 0.0052783 0.06029 0.0703056 -0.0688687 -0.0697658 0
0.43 0.138888 0.00884161 -0.00732191 0.00764199 0.0618619 0.068753 -0.0673145 -0.0682177 0
0.432 0.141257 0.011154 -0.00967815 0.0099747 0.0634498 0.0671844 -0.0657451 -0.0666538 0
0.434 0.143594 0.0134325 -0.0120011 0.0122746 0.0650527 0.0656007 -0.0641616 -0.0650753 0
0.436 0.1459 0.0156751 -0.014289 0.0145397 0.0666696 0.0640029 -0.0625648 -0.063483 0
0.438 0.14817 0.0178802 -0.0165398 0.0167684 0.0682996 0.0623921 -0.0609559 -0.0618779 0
0.44 0.150404 0.0200458 -0.0187517 0.0189586 0.0699417 0.0607692 -0.0593359 -0.0602612 0
0.442 0.152599 0.0221701 -0.0209228 0.0211087 0.0715949 0.0591353 -0.0577058 -0.0586338 0
0.444 0.154755 0.0242514 -0.0230513 0.0232168 0.0732581 0.0574916 -0.0560666 -0.0569968 0
0.446 0.156868 0.0262879 -0.0251353 0.0252812 0.0749303 0.0558391 -0.0544195 -0.0553512 0
0.448 0.158938 0.0282778 -0.0271731 0.0273 0.0766104 0.0541788 -0.0527656 -0.0536982 0
