time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.328 0.0196536 -0.111005 0.113025 -0.111977 0.0159407 0.112482 -0.112128 -0.112338 0
0.33 0.0212806 -0.109316 0.111367 -0.110311 0.0160475 0.11246 -0.112072 -0.112298 0
0.332 0.0229564 -0.10758 0.109659 -0.108596 0.0161857 0.112404 -0.111982 -0.112224 0
0.334 0.0246803 -0.105797 0.107902 -0.106834 0.0163555 0.112314 -0.111858 -0.112116 0
0.336 0.0264513 -0.103968 0.106098 -0.105026 0.0165575 0.112189 -0.1117 -0.111974 0
0.338 0.0282687 -0.102094 0.104248 -0.103172 0.0167917 0.112031 -0.111508 -0.111798 0
0.34 0.0301314 -0.100176 0.102352 -0.101274 0.0170585 0.111837 -0.111282 -0.111588 0
0.342 0.0320386 -0.0982149 0.100411 -0.0993323 0.0173581 0.111608 -0.11102 -0.111343 0
0.344 0.0339891 -0.096212 0.0984268 -0.0973482 0.0176907 0.111345 -0.110724 -0.111063 0
0.346 0.0359819 -0.0941683 0.0964002 -0.0953228 0.0180565 0.111046 -0.110393 -0.110748 0
0.348 0.038016 -0.092085 0.0943322 -0.0932572 0.0184557 0.110712 -0.110027 -0.110398 0
0.35 0.0400902 -0.0899632 0.0922242 -0.0911526 0.0188884 0.110342 -0.109626 -0.110013 0
0.352 0.0422032 -0.0878042 0.0900772 -0.0890102 0.0193547 0.109937 -0.109189 -0.109593 0
0.354 0.044354 -0.0856093 0.0878927 -0.0868312 0.0198547 0.109496 -0.108718 -0.109138 0
0.356 0.0465412 -0.0833797 0.0856718 -0.084617 0.0203884 0.109019 -0.108211 -0.108647 0
0.358 0.0487636 -0.0811169 0.0834159 -0.0823688 0.0209559 0.108507 -0.107669 -0.108122 0
0.36 0.0510198 -0.0788222 0.0811264 -0.0800881 0.0215572 0.10796 -0.107092 -0.107561 0
0.362 0.0533085 -0.076497 0.0788048 -0.0777761 0.0221922 0.107376 -0.10648 -0.106966 0
0.364 0.0556283 -0.0741427 0.0764524 -0.0754345 0.0228609 0.106758 -0.105833 -0.106335 0
0.366 0.0579777 -0.0717609 0.0740708 -0.0730645 0.0235633 0.106104 -0.105152 -0.10567 0
0.368 0.0603552 -0.0693531 0.0716614 -0.0706677 0.0242991 0.105415 -0.104436 -0.104969 0
0.37 0.0627595 -0.0669207 0.0692258 -0.0682457 0.0250683 0.104692 -0.103686 -0.104235 0
0.372 0.0651889 -0.0644655 0.0667657 -0.0657999 0.0258707 0.103933 -0.102901 -0.103466 0
0.374 0.067642 -0.0619889 0.0642825 -0.063332 0.0267062 0.10314 -0.102083 -0.102664 0
0.376 0.070117 -0.0594926 0.061778 -0.0608436 0.0275744 0.102313 -0.101231 -0.101827 0
0.378 0.0726124 -0.0569783 0.0592538 -0.0583364 0.0284751 0.101452 -0.100346 -0.100957 0
0.38 0.0751267 -0.0544477 0.0567117 -0.0558119 0.0294082 0.100557 -0.0994281 -0.100054 0
0.382 0.077658 -0.0519024 0.0541532 -0.0532718 0.0303732 0.0996288 -0.0984776 -0.0991188 0
0.384 0.0802047 -0.0493442 0.0515803 -0.050718 0.0313698 0.0986678 -0.0974949 -0.0981508 0
0.386 0.0827652 -0.0467748 0.0489946 -0.0481521 0.0323977 0.0976743 -0.0964805 -0.0971508 0
0.388 0.0853376 -0.044196 0.0463979 -0.0455759 0.0334565 0.0966488 -0.0954348 -0.0961193 0
0.39 0.0879203 -0.0416097 0.0437922 -0.0429912 0.0345458 0.0955917 -0.0943583 -0.0950568 0
0.392 0.0905114 -0.0390175 0.0411791 -0.0403997 0.0356651 0.0945034 -0.0932515 -0.0939636 0
0.394 0.0931091 -0.0364214 0.0385605 -0.0378032 0.036814 0.0933846 -0.0921149 -0.0928404 0
0.396 0.0957117 -0.0338232 0.0359384 -0.0352037 0.0379919 0.0922357 -0.0909491 -0.0916877 0
0.398 0.0983173 -0.0312247 0.0333146 -0.0326029 0.0391984 0.0910572 -0.0897546 -0.090506 0
0.4 0.100924 -0.0286277 0.030691 -0.0300027 0.0404329 0.0898499 -0.088532 -0.0892959 0
0.402 0.10353 -0.0260343 0.0280694 -0.0274049 0.0416949 0.0886143 -0.0872821 -0.0880581 0
0.404 0.106134 -0.0234462 0.0254519 -0.0248115 0.0429836 0.087351 -0.0860054 -0.0867932 0
0.406 0.108733 -0.0208654 0.0228404 -0.0222244 0.0442986 0.0860608 -0.0847026 -0.0855018 0
0.408 0.111326 -0.0182938 0.0202368 -0.0196453 0.0456392 0.0847444 -0.0833744 -0.0841847 0
0.41 0.11391 -0.0157332 0.017643 -0.0170763 0.0470046 0.0834023 -0.0820216 -0.0828425 0
0.412 0.116485 -0.0131856 0.0150611 -0.0145192 0.0483942 0.0820355 -0.0806449 -0.081476 0
0.414 0.119048 -0.010653 0.0124929 -0.011976 0.0498073 0.0806447 -0.079245 -0.080086 0
0.416 0.121596 -0.00813712 0.00994043 -0.00944851 0.051243 0.0792306 -0.0778229 -0.0786733 0
0.418 0.124129 -0.00564003 0.00740566 -0.00693871 0.0527008 0.0777941 -0.0763792 -0.0772386 0
0.42 0.126644 -0.00316361 0.00489053 -0.0044485 0.0541796 0.076336 -0.0749149 -0.0757828 0
0.422 0.12914 -0.000709777 0.00239701 -0.00197979 0.0556788 0.0748572 -0.0734308 -0.0743067 0
0.424 0.131614 0.00171956 -7.29371e-05 0.000465516 0.0571975 0.0733586 -0.0719278 -0.0728113 0
0.426 0.134064 0.00412251 -0.00251737 0.00288551 0.0587349 0.0718411 -0.0704068 -0.0712974 0
0.428 0.13649 0.00649715 -0.00493434 0.0052783 0.06029 0.0703056 -0.0688687 -0.0697658 0
0.43 0.138888 0.00884161 -0.00732191 0.00764199 0.0618619 0.068753 -0.0673145 -0.0682177 0
0.432 0.141257 0.011154 -0.00967815 0.0099747 0.0634498 0.0671844 -0.0657451 -0.0666538 0
0.434 0.143594 0.0134325 -0.0120011 0.0122746 0.0650527 0.0656007 -0.0641616 -0.0650753 0
0.436 0.1459 0.0156751 -0.014289 0.0145397 0.0666696 0.0640029 -0.0625648 -0.063483 0
0.438 0.14817 0.0178802 -0.0165398 0.0167684 0.0682996 0.0623921 -0.0609559 -0.0618779 0
0.44 0.150404 0.0200458 -0.0187517 0.0189586 0.0699417 0.0607692 -0.0593359 -0.0602612 0
