time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.21 0.0694948 -0.0141579 0.119183 -0.118886 0.0431527 0.0738785 -0.0438099 -0.0737037 0.0355831
0.212 0.0709569 -0.0130412 0.120301 -0.120011 0.0437088 0.0748069 -0.0431945 -0.0746298 0.0358979
0.214 0.0724408 -0.0119486 0.121395 -0.121114 0.0442834 0.0757385 -0.0425696 -0.0755595 0.0362089
0.216 0.0739453 -0.0108812 0.122464 -0.122192 0.0448766 0.076673 -0.0419358 -0.0764921 0.036516
0.218 0.0754695 -0.00984052 0.123507 -0.123244 0.0454885 0.0776095 -0.0412939 -0.0774271 0.0368193
0.22 0.0770124 -0.00882777 0.124522 -0.124269 0.046119 0.0785477 -0.0406446 -0.078364 0.0371188
0.222 0.0785729 -0.00784425 0.125508 -0.125267 0.0467681 0.0794868 -0.0399886 -0.079302 0.0374144
0.224 0.08015 -0.00689125 0.126464 -0.126235 0.0474357 0.0804262 -0.0393266 -0.0802407 0.037706
0.226 0.0817424 -0.00597001 0.127388 -0.127172 0.0481218 0.0813653 -0.0386595 -0.0811793 0.0379938
0.228 0.0833491 -0.00508177 0.128279 -0.128078 0.0488264 0.0823035 -0.0379879 -0.0821172 0.0382777
0.23 0.084969 -0.00422776 0.129136 -0.128951 0.0495492 0.08324 -0.0373127 -0.0830539 0.0385578
0.232 0.0866009 -0.00340918 0.129958 -0.12979 0.0502902 0.0841743 -0.0366347 -0.0839886 0.038834
0.234 0.0882435 -0.0026272 0.130744 -0.130593 0.0510493 0.0851055 -0.0359545 -0.0849206 0.0391064
0.236 0.0898958 -0.00188298 0.131492 -0.13136 0.0518262 0.0860332 -0.0352731 -0.0858494 0.0393747
0.238 0.0915564 -0.00117765 0.132201 -0.132089 0.0526208 0.0869564 -0.0345912 -0.0867742 0.0396383
0.24 0.0932241 -0.000512321 0.132871 -0.13278 0.0534329 0.0878746 -0.0339096 -0.0876943 0.0398964
0.242 0.0948978 0.000111924 0.1335 -0.13343 0.0542622 0.088787 -0.0332292 -0.088609 0.0401484
0.244 0.0965761 0.000694033 0.134087 -0.134041 0.0551084 0.0896929 -0.0325507 -0.0895176 0.0403937
0.246 0.0982578 0.00123298 0.13463 -0.134609 0.0559714 0.0905915 -0.031875 -0.0904194 0.0406316
0.248 0.0999416 0.00172777 0.13513 -0.135135 0.0568508 0.0914822 -0.031203 -0.0913137 0.0408635
0.25 0.101626 0.00217743 0.135586 -0.135616 0.0577463 0.0923641 -0.0305354 -0.0921997 0.0410913
0.252 0.10331 0.00258103 0.135995 -0.136054 0.0586575 0.0932367 -0.029873 -0.0930768 0.0413153
0.254 0.104992 0.00293766 0.136357 -0.136445 0.0595842 0.094099 -0.0292168 -0.0939442 0.0415355
0.256 0.106672 0.00324646 0.136672 -0.136791 0.0605259 0.0949503 -0.0285675 -0.0948011 0.0417518
0.258 0.108346 0.0035066 0.136939 -0.137089 0.0614823 0.09579 -0.0279261 -0.0956468 0.041964
0.26 0.110015 0.00371726 0.137156 -0.137339 0.0624529 0.0966172 -0.0272932 -0.0964806 0.0421721
0.262 0.111677 0.0038777 0.137324 -0.13754 0.0634374 0.0974313 -0.0266698 -0.0973018 0.0423758
0.264 0.11333 0.00398717 0.13744 -0.137692 0.0644352 0.0982313 -0.0260566 -0.0981096 0.0425744
0.266 0.114973 0.00404501 0.137505 -0.137794 0.0654459 0.0990167 -0.0254546 -0.0989033 0.0427671
0.268 0.116606 0.00405054 0.137518 -0.137844 0.0664691 0.0997867 -0.0248645 -0.0996821 0.0429531
0.27 0.118225 0.00400318 0.137479 -0.137843 0.0675042 0.10054 -0.0242871 -0.100445 0.0431318
0.272 0.119831 0.00390234 0.137386 -0.137791 0.0685507 0.101277 -0.0237234 -0.101192 0.0433026
0.274 0.121422 0.0037475 0.137239 -0.137685 0.069608 0.101996 -0.0231739 -0.101922 0.0434653
0.276 0.122996 0.00353817 0.137039 -0.137526 0.0706758 0.102697 -0.0226397 -0.102634 0.0436194
0.278 0.124553 0.00327391 0.136783 -0.137314 0.0717533 0.103379 -0.0221214 -0.103328 0.0437648
0.28 0.12609 0.00295432 0.136472 -0.137048 0.0728399 0.104041 -0.0216199 -0.104002 0.0439013
0.282 0.127607 0.00257905 0.136106 -0.136728 0.0739352 0.104682 -0.0211359 -0.104657 0.0440288
0.284 0.129101 0.00214777 0.135684 -0.136352 0.0750385 0.105302 -0.0206703 -0.105291 0.0441474
0.286 0.130573 0.00166023 0.135207 -0.135922 0.0761491 0.1059 -0.0202236 -0.105903 0.0442572
0.288 0.132021 0.0011162 0.134672 -0.135437 0.0772665 0.106475 -0.0197968 -0.106494 0.0443582
0.29 0.133442 0.000515509 0.134082 -0.134896 0.07839 0.107027 -0.0193906 -0.107062 0.0444505
0.292 0.134837 -0.000141974 0.133434 -0.134299 0.0795189 0.107555 -0.0190056 -0.107607 0.0445341
0.294 0.136204 -0.000856331 0.13273 -0.133647 0.0806525 0.108059 -0.0186426 -0.108127 0.0446091
0.296 0.13754 -0.0016276 0.13197 -0.132939 0.0817902 0.108537 -0.0183023 -0.108624 0.0446756
0.298 0.138847 -0.00245576 0.131152 -0.132175 0.0829313 0.108989 -0.0179854 -0.109095 0.0447336
0.3 0.140121 -0.00334076 0.130278 -0.131355 0.084075 0.109415 -0.0176925 -0.10954 0.0447833
0.302 0.141362 -0.00428249 0.129347 -0.13048 0.0852207 0.109813 -0.0174243 -0.109959 0.0448247
0.304 0.142569 -0.00528078 0.12836 -0.129549 0.0863676 0.110184 -0.0171814 -0.11035 0.0448579
0.306 0.14374 -0.00633545 0.127317 -0.128562 0.087515 0.110527 -0.0169645 -0.110715 0.0448829
0.308 0.144875 -0.00744622 0.126218 -0.127521 0.0886622 0.11084 -0.0167742 -0.111051 0.0448999
