d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.45 0.45 0.0667 -0.0667 0.6933 0.4267 0.2 0.8 2 15 2.60638 0.868816 497.707 
0.45 0.45 0.0667 -0.0667 0.6933 0.4067 0.2 0.8 2 5.524 0.0186237 0.172601 471.44 
0.45 0.45 0.0667 -0.0667 0.6933 0.3867 0.2 0.8 2 15 2.65688 0.877649 498.123 
0.45 0.45 0.0667 -0.0667 0.6933 0.3667 0.2 0.8 2 15 2.38845 0.884081 497.826 
0.45 0.45 0.0667 -0.0667 0.6933 0.3467 0.2 0.8 2 10.982 0.28065 0.170352 475.118 
0.45 0.45 0.0667 -0.0667 0.6933 0.3267 0.2 0.8 2 15 2.46885 0.889685 498.016 
0.45 0.45 0.0667 -0.0667 0.6933 0.3067 0.2 0.8 2 15 2.37506 0.893485 497.973 
0.45 0.45 0.0667 -0.0667 0.6933 0.2867 0.2 0.8 2 2.604 0.0729594 0.17084 449.244 
0.45 0.45 0.0667 -0.0667 0.6933 0.2667 0.2 0.8 2 15 1.62277 0.776346 494.85 
0.45 0.45 0.0667 -0.0667 0.6933 0.2467 0.2 0.8 2 4.202 0.235954 0.165787 462.716 
0.45 0.45 0.0667 -0.0667 0.6933 0.2267 0.2 0.8 2 15 1.63574 0.891473 496.305 
0.45 0.45 0.0667 -0.0667 0.6933 0.2067 0.2 0.8 2 4.068 0.179543 0.172842 453.652 
0.45 0.45 0.0667 -0.0667 0.6933 0.1867 0.2 0.8 2 3.106 0.251351 0.173377 459.383 
0.45 0.45 0.0667 -0.0667 0.6933 0.1667 0.2 0.8 2 5.036 0.466409 0.170889 472.956 
0.45 0.45 0.0667 -0.0667 0.6733 0.5467 0.2 0.8 2 15 0 0.869168 488.547 
0.45 0.45 0.0667 -0.0667 0.6733 0.5267 0.2 0.8 2 4.476 0.361933 0.168747 457.837 
0.45 0.45 0.0667 -0.0667 0.6733 0.5067 0.2 0.8 2 15 1.56728 0.87746 495.17 
0.45 0.45 0.0667 -0.0667 0.6733 0.4867 0.2 0.8 2 15 1.00428 0.673384 488.623 
0.45 0.45 0.0667 -0.0667 0.6733 0.4667 0.2 0.8 2 1.47 0.20623 0.170958 447.09 
0.45 0.45 0.0667 -0.0667 0.6733 0.4467 0.2 0.8 2 4.466 0.399823 0.168131 473.05 
0.45 0.45 0.0667 -0.0667 0.6733 0.4267 0.2 0.8 2 1.486 0.165793 0.17208 447.317 
0.45 0.45 0.0667 -0.0667 0.6733 0.4067 0.2 0.8 2 1.454 0.273346 0.173522 444.318 
0.45 0.45 0.0667 -0.0667 0.6733 0.3867 0.2 0.8 2 1.514 0.242339 0.166722 392.35 
0.45 0.45 0.0667 -0.0667 0.6733 0.3667 0.2 0.8 2 15 2.55991 0.882971 498.281 
0.45 0.45 0.0667 -0.0667 0.6733 0.3467 0.2 0.8 2 15 2.42835 0.889678 498.029 
0.45 0.45 0.0667 -0.0667 0.6733 0.3267 0.2 0.8 2 15 2.33787 0.891473 497.981 
0.45 0.45 0.0667 -0.0667 0.6733 0.3067 0.2 0.8 2 15 1.64238 0.615347 491.94 
0.45 0.45 0.0667 -0.0667 0.6733 0.2867 0.2 0.8 2 15 1.8435 0.903025 496.981 
0.45 0.45 0.0667 -0.0667 0.6733 0.2667 0.2 0.8 2 14.132 0 0.170681 488.626 
0.45 0.45 0.0667 -0.0667 0.6733 0.2467 0.2 0.8 2 5.304 0.11742 0.173322 474.883 
0.45 0.45 0.0667 -0.0667 0.6733 0.2267 0.2 0.8 2 15 1.1474 0.895414 495.045 
0.45 0.45 0.0667 -0.0667 0.6733 0.2067 0.2 0.8 2 15 1.28254 0.730651 492.839 
0.45 0.45 0.0667 -0.0667 0.6733 0.1867 0.2 0.8 2 15 1.28689 0.888827 496.331 
0.45 0.45 0.0667 -0.0667 0.6733 0.1667 0.2 0.8 2 2.396 0.0239547 0.169886 455.81 
